"wd_id","status","variable","value_old","value_new"
"Q983","NEWvalue","NAME_RU","","Экваториальная Гвинея"
"Q983","NEWvalue","NAME_SV","","Ekvatorialguinea"
"Q983","NEWvalue","NAME_TR","","Ekvator Ginesi"
"Q983","NEWvalue","NAME_VI","","Guinea Xích Đạo"
"Q983","NEWvalue","NAME_ZH","","赤道几内亚"
"Q1050","MODvalue","NAME_ES","Suazilandia","eSwatini"
"Q1050","MODvalue","NAME_PT","Suazilândia","eSwatini"
"Q881","MODvalue","NAME_HU","Vietnam","Vietnám"
"Q184","MODvalue","NAME_RU","Республика Беларусь","Белоруссия"
"Q184","MODvalue","NAME_ZH","白俄罗斯","白罗斯"
"Q217","MODvalue","NAME_DE","Moldawien","Republik Moldau"
"Q31","NEWvalue","NAME_AR","","بلجيكا"
"Q31","NEWvalue","NAME_BN","","বেলজিয়াম"
"Q31","NEWvalue","NAME_DE","","Belgien"
"Q31","NEWvalue","NAME_EN","","Belgium"
"Q31","NEWvalue","NAME_ES","","Bélgica"
"Q31","NEWvalue","NAME_FR","","Belgique"
"Q31","NEWvalue","NAME_EL","","Βέλγιο"
"Q31","NEWvalue","NAME_HI","","बेल्जियम"
"Q31","NEWvalue","NAME_HU","","Belgium"
"Q31","NEWvalue","NAME_ID","","Belgia"
"Q31","NEWvalue","NAME_IT","","Belgio"
"Q31","NEWvalue","NAME_JA","","ベルギー"
"Q31","NEWvalue","NAME_KO","","벨기에"
"Q31","NEWvalue","NAME_NL","","België"
"Q31","NEWvalue","NAME_PL","","Belgia"
"Q31","NEWvalue","NAME_PT","","Bélgica"
"Q31","NEWvalue","NAME_RU","","Бельгия"
"Q31","NEWvalue","NAME_SV","","Belgien"
"Q31","NEWvalue","NAME_TR","","Belçika"
"Q31","NEWvalue","NAME_VI","","Bỉ"
"Q31","NEWvalue","NAME_ZH","","比利时"
"Q685","MODvalue","NAME_FR","Salomon","Îles Salomon"
"Q664","NEWvalue","NAME_AR","","نيوزيلندا"
"Q664","NEWvalue","NAME_BN","","নিউজিল্যান্ড"
"Q664","NEWvalue","NAME_DE","","Neuseeland"
"Q664","NEWvalue","NAME_EN","","New Zealand"
"Q664","NEWvalue","NAME_ES","","Nueva Zelanda"
"Q664","NEWvalue","NAME_FR","","Nouvelle-Zélande"
"Q664","NEWvalue","NAME_EL","","Νέα Ζηλανδία"
"Q664","NEWvalue","NAME_HI","","न्यूज़ीलैण्ड"
"Q664","NEWvalue","NAME_HU","","Új-Zéland"
"Q664","NEWvalue","NAME_ID","","Selandia Baru"
"Q664","NEWvalue","NAME_IT","","Nuova Zelanda"
"Q664","NEWvalue","NAME_JA","","ニュージーランド"
"Q664","NEWvalue","NAME_KO","","뉴질랜드"
"Q664","NEWvalue","NAME_NL","","Nieuw-Zeeland"
"Q664","NEWvalue","NAME_PL","","Nowa Zelandia"
"Q664","NEWvalue","NAME_PT","","Nova Zelândia"
"Q664","NEWvalue","NAME_RU","","Новая Зеландия"
"Q664","NEWvalue","NAME_SV","","Nya Zeeland"
"Q664","NEWvalue","NAME_TR","","Yeni Zelanda"
"Q664","NEWvalue","NAME_VI","","New Zealand"
"Q664","NEWvalue","NAME_ZH","","新西兰"
"Q865","MODvalue","NAME_DE","Republik China","Taiwan"
"Q865","MODvalue","NAME_PT","República da China","Taiwan"
"Q986","MODvalue","NAME_AR","إريتريا","إرتريا"
"Q51","NEWvalue","NAME_AR","","أنتاركتيكا"
"Q51","NEWvalue","NAME_BN","","অ্যান্টার্কটিকা"
"Q51","NEWvalue","NAME_DE","","Antarktika"
"Q51","NEWvalue","NAME_EN","","Antarctica"
"Q51","NEWvalue","NAME_ES","","Antártida"
"Q51","NEWvalue","NAME_FR","","Antarctique"
"Q51","NEWvalue","NAME_EL","","Ανταρκτική"
"Q51","NEWvalue","NAME_HI","","अंटार्कटिका"
"Q51","NEWvalue","NAME_HU","","Antarktika"
"Q51","NEWvalue","NAME_ID","","Antartika"
"Q51","NEWvalue","NAME_IT","","Antartide"
"Q51","NEWvalue","NAME_JA","","南極大陸"
"Q51","NEWvalue","NAME_KO","","남극"
"Q51","NEWvalue","NAME_NL","","Antarctica"
"Q51","NEWvalue","NAME_PL","","Antarktyda"
"Q51","NEWvalue","NAME_PT","","Antártida"
"Q51","NEWvalue","NAME_RU","","Антарктида"
"Q51","NEWvalue","NAME_SV","","Antarktis"
"Q51","NEWvalue","NAME_TR","","Antarktika"
"Q51","NEWvalue","NAME_VI","","Châu Nam Cực"
"Q51","NEWvalue","NAME_ZH","","南极洲"
"Q977","MODvalue","NAME_PT","Jibuti","Djibouti"
"Q225","NEWvalue","NAME_AR","","البوسنة والهرسك"
"Q225","NEWvalue","NAME_BN","","বসনিয়া ও হার্জেগোভিনা"
"Q225","NEWvalue","NAME_DE","","Bosnien und Herzegowina"
"Q225","NEWvalue","NAME_EN","","Bosnia and Herzegovina"
"Q225","NEWvalue","NAME_ES","","Bosnia y Herzegovina"
"Q225","NEWvalue","NAME_FR","","Bosnie-Herzégovine"
"Q225","NEWvalue","NAME_EL","","Βοσνία και Ερζεγοβίνη"
"Q225","NEWvalue","NAME_HI","","बॉस्निया और हर्ज़ेगोविना"
"Q225","NEWvalue","NAME_HU","","Bosznia-Hercegovina"
"Q225","NEWvalue","NAME_ID","","Bosnia dan Herzegovina"
"Q225","NEWvalue","NAME_IT","","Bosnia ed Erzegovina"
"Q225","NEWvalue","NAME_JA","","ボスニア・ヘルツェゴビナ"
"Q225","NEWvalue","NAME_KO","","보스니아 헤르체고비나"
"Q225","NEWvalue","NAME_NL","","Bosnië en Herzegovina"
"Q225","NEWvalue","NAME_PL","","Bośnia i Hercegowina"
"Q225","NEWvalue","NAME_PT","","Bósnia e Herzegovina"
"Q225","NEWvalue","NAME_RU","","Босния и Герцеговина"
"Q225","NEWvalue","NAME_SV","","Bosnien och Hercegovina"
"Q225","NEWvalue","NAME_TR","","Bosna-Hersek"
"Q225","NEWvalue","NAME_VI","","Bosna và Hercegovina"
"Q225","NEWvalue","NAME_ZH","","波斯尼亚和黑塞哥维那"
"Q1246","MODvalue","NAME_EL","Κόσοβο","Κοσσυφοπέδιο"
"Q754","NEWvalue","NAME_AR","","ترينيداد وتوباغو"
"Q754","NEWvalue","NAME_BN","","ত্রিনিদাদ ও টোবাগো"
"Q754","NEWvalue","NAME_DE","","Trinidad und Tobago"
"Q754","NEWvalue","NAME_EN","","Trinidad and Tobago"
"Q754","NEWvalue","NAME_ES","","Trinidad y Tobago"
"Q754","NEWvalue","NAME_FR","","Trinité-et-Tobago"
"Q754","NEWvalue","NAME_EL","","Τρινιντάντ και Τομπάγκο"
"Q754","NEWvalue","NAME_HI","","त्रिनिदाद और टोबैगो"
"Q754","NEWvalue","NAME_HU","","Trinidad és Tobago"
"Q754","NEWvalue","NAME_ID","","Trinidad dan Tobago"
"Q754","NEWvalue","NAME_IT","","Trinidad e Tobago"
"Q754","NEWvalue","NAME_JA","","トリニダード・トバゴ"
"Q754","NEWvalue","NAME_KO","","트리니다드 토바고"
"Q754","NEWvalue","NAME_NL","","Trinidad en Tobago"
"Q754","NEWvalue","NAME_PL","","Trynidad i Tobago"
"Q754","NEWvalue","NAME_PT","","Trinidad e Tobago"
"Q754","NEWvalue","NAME_RU","","Тринидад и Тобаго"
"Q754","NEWvalue","NAME_SV","","Trinidad och Tobago"
"Q754","NEWvalue","NAME_TR","","Trinidad ve Tobago"
"Q754","NEWvalue","NAME_VI","","Trinidad và Tobago"
"Q754","NEWvalue","NAME_ZH","","千里達及托巴哥"
