"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1227","","2890845","نيفادا","নেভাডা","Nevada","Nevada","Nevada","Nevada","Νεβάδα","नेवाडा","Nevada","Nevada","Nevada","ネバダ州","네바다주","Nevada","Nevada","Nevada","Невада","Nevada","Nevada","Nevada","内华达州"
"Q1261","","5456574","كولورادو","কলোরাডো","Colorado","Colorado","Colorado","Colorado","Κολοράντο","कॉलराडो","Colorado","Colorado","Colorado","コロラド州","콜로라도 주","Colorado","Kolorado","Colorado","Колорадо","Colorado","Colorado","Colorado","科羅拉多州"
"Q1371","","1844128","فيرجينيا الغربية","পশ্চিম ভার্জিনিয়া","West Virginia","West Virginia","Virginia Occidental","Virginie-Occidentale","Δυτική Βιρτζίνια","पश्चिमी वर्जीनिया","Nyugat-Virginia","Virginia Barat","Virginia Occidentale","ウェストバージニア州","웨스트버지니아주","West Virginia","Wirginia Zachodnia","Virgínia Ocidental","Западная Виргиния","West Virginia","Batı Virginia","Tây Virginia","西維吉尼亞州"
"Q1370","","8382993","فرجينيا","ভার্জিনিয়া","Virginia","Virginia","Virginia","Virginie","Βιρτζίνια","वर्जीनिया","Virginia","Virginia","Virginia","バージニア州","버지니아 주","Virginia","Wirginia","Virgínia","Виргиния","Virginia","Virjinya","Virginia","弗吉尼亚州"
"Q1384","","19795791","نيويورك","নিউ ইয়র্ক","New York","New York","Nueva York","État de New York","Νέα Υόρκη","न्यूयॉर्क","New York","New York","New York","ニューヨーク州","뉴욕 주","New York","Nowy Jork","Nova Iorque","Нью-Йорк","New York","New York","New York","纽约州"
"Q1387","","1056298","رود آيلاند","রোড আইল্যান্ড","Rhode Island","Rhode Island","Rhode Island","Rhode Island","Ρόουντ Άιλαντ","रोड आइलैंड","Rhode Island","Rhode Island","Rhode Island","ロードアイランド州","로드아일랜드주","Rhode Island","Rhode Island","Rhode Island","Род-Айленд","Rhode Island","Rhode Island","Rhode Island","羅德島州"
"Q1391","","6006401","ماريلند","মেরিল্যান্ড","Maryland","Maryland","Maryland","Maryland","Μέριλαντ","मैरीलैंड","Maryland","Maryland","Maryland","メリーランド州","메릴랜드 주","Maryland","Maryland","Maryland","Мэриленд","Maryland","Maryland","Maryland","马里兰州"
"Q1393","","945934","ديلاوير","ডেলাওয়্যার","Delaware","Delaware","Delaware","Delaware","Ντέλαγουερ","डेलावेयर","Delaware","Delaware","Delaware","デラウェア州","델라웨어 주","Delaware","Delaware","Delaware","Делавэр","Delaware","Delaware","Delaware","特拉华州"
"Q1397","","11613423","أوهايو","ওহাইও","Ohio","Ohio","Ohio","Ohio","Οχάιο","ओहायो","Ohio","Ohio","Ohio","オハイオ州","오하이오 주","Ohio","Ohio","Ohio","Огайо","Ohio","Ohio","Ohio","俄亥俄州"
"Q1400","","12802503","بنسيلفانيا","পেন্সিল্‌ভেনিয়া","Pennsylvania","Pennsylvania","Pensilvania","Pennsylvanie","Πενσιλβανία","पेन्सिलवेनिया","Pennsylvania","Pennsylvania","Pennsylvania","ペンシルベニア州","펜실베이니아주","Pennsylvania","Pensylwania","Pensilvânia","Пенсильвания","Pennsylvania","Pensilvanya","Pennsylvania","宾夕法尼亚州"
"Q1408","","8958013","نيوجيرسي","নিউ জার্সি","New Jersey","New Jersey","Nueva Jersey","New Jersey","Νιου Τζέρσεϊ","न्यू जर्सी","New Jersey","New Jersey","New Jersey","ニュージャージー州","뉴저지 주","New Jersey","New Jersey","Nova Jérsia","Нью-Джерси","New Jersey","New Jersey","New Jersey","新泽西州"
"Q1415","","6619680","إنديانا","ইন্ডিয়ানা","Indiana","Indiana","Indiana","Indiana","Ιντιάνα","इंडियाना","Indiana","Indiana","Indiana","インディアナ州","인디애나 주","Indiana","Indiana","Indiana","Индиана","Indiana","Indiana","Indiana","印第安纳州"
"Q1428","","10214860","جورجيا","জর্জিয়া","Georgia","Georgia","Georgia","Géorgie","Τζόρτζια","जॉर्जिया","Georgia","Georgia","Georgia","ジョージア州","조지아주","Georgia","Georgia","Geórgia","Джорджия","Georgia","Georgia","Georgia","喬治亞州"
"Q1439","","27469114","تكساس","টেক্সাস","Texas","Texas","Texas","Texas","Τέξας","टॅक्सस","Texas","Texas","Texas","テキサス州","텍사스 주","Texas","Teksas","Texas","Техас","Texas","Teksas","Texas","得克萨斯州"
"Q1454","","10042802","كارولاينا الشمالية","নর্থ ক্যারোলাইনা","North Carolina","North Carolina","Carolina del Norte","Caroline du Nord","Βόρεια Καρολίνα","उत्तरी केरोलिना","Észak-Karolina","Carolina Utara","Carolina del Nord","ノースカロライナ州","노스캐롤라이나주","North Carolina","Karolina Północna","Carolina do Norte","Северная Каролина","North Carolina","Kuzey Karolina","Bắc Carolina","北卡罗来纳州"
"Q1456","","4896146","كارولاينا الجنوبية","সাউথ ক্যারোলাইনা","South Carolina","South Carolina","Carolina del Sur","Caroline du Sud","Νότια Καρολίνα","दक्षिणी केरोलाइना","Dél-Karolina","Carolina Selatan","Carolina del Sud","サウスカロライナ州","사우스캐롤라이나주","South Carolina","Karolina Południowa","Carolina do Sul","Южная Каролина","South Carolina","Güney Karolina","Nam Carolina","南卡罗来纳州"
"Q1494","","2992333","مسيسيبي","মিসিসিপি","Mississippi","Mississippi","Misisipi","Mississippi","Μισισίπι","मिसिसिप्पी","Mississippi","Mississippi","Mississippi","ミシシッピ州","미시시피주","Mississippi","Missisipi","Mississippi","Миссисипи","Mississippi","Mississippi","Mississippi","密西西比州"
"Q1509","","6600299","تينيسي","টেনেসী","Tennessee","Tennessee","Tennessee","Tennessee","Τενεσί","टेनेसी","Tennessee","Tennessee","Tennessee","テネシー州","테네시 주","Tennessee","Tennessee","Tennessee","Теннесси","Tennessee","Tennessee","Tennessee","田纳西州"
"Q1527","","5489594","مينيسوتا","মিনেসোটা","Minnesota","Minnesota","Minnesota","Minnesota","Μινεσότα","मिनेसोटा","Minnesota","Minnesota","Minnesota","ミネソタ州","미네소타 주","Minnesota","Minnesota","Minnesota","Миннесота","Minnesota","Minnesota","Minnesota","明尼蘇達州"
"Q1522","","2085109","نيومكسيكو","নিউ মেক্সিকো","New Mexico","New Mexico","Nuevo México","Nouveau-Mexique","Νέο Μεξικό","नया मेक्सिको","Új-Mexikó","New Mexico","Nuovo Messico","ニューメキシコ州","뉴멕시코주","New Mexico","Nowy Meksyk","Novo México","Нью-Мексико","New Mexico","New Mexico","New Mexico","新墨西哥州"
"Q1537","","5771337","ويسكونسن","উইসকনসিন","Wisconsin","Wisconsin","Wisconsin","Wisconsin","Ουισκόνσιν","विस्कॉन्सिन","Wisconsin","Wisconsin","Wisconsin","ウィスコンシン州","위스콘신 주","Wisconsin","Wisconsin","Wisconsin","Висконсин","Wisconsin","Wisconsin","Wisconsin","威斯康辛州"
"Q1546","","3046355","آيوا","আইওয়া","Iowa","Iowa","Iowa","Iowa","Αϊόβα","आयोवा","Iowa","Iowa","Iowa","アイオワ州","아이오와 주","Iowa","Iowa","Iowa","Айова","Iowa","Iowa","Iowa","艾奥瓦州"
"Q1553","","1896190","نبراسكا","নেব্রাস্কা","Nebraska","Nebraska","Nebraska","Nebraska","Νεμπράσκα","नेब्रास्का","Nebraska","Nebraska","Nebraska","ネブラスカ州","네브래스카 주","Nebraska","Nebraska","Nebraska","Небраска","Nebraska","Nebraska","Nebraska","內布拉斯加州"
"Q1558","","2911641","كانساس","ক্যান্সাস","Kansas","Kansas","Kansas","Kansas","Κάνσας","केन्सास","Kansas","Kansas","Kansas","カンザス州","캔자스 주","Kansas","Kansas","Kansas","Канзас","Kansas","Kansas","Kansas","堪薩斯州"
"Q1588","","4533372","لويزيانا","লুইজিয়ানা","Louisiana","Louisiana","Luisiana","Louisiane","Λουιζιάνα","लुईज़ियाना","Louisiana","Louisiana","Louisiana","ルイジアナ州","루이지애나 주","Louisiana","Luizjana","Luisiana","Луизиана","Louisiana","Louisiana","Louisiana","路易斯安那州"
"Q1581","","6083672","ميزوري","মিসৌরি","Missouri","Missouri","Misuri","Missouri","Μιζούρι","मिसौरी","Missouri","Missouri","Missouri","ミズーリ州","미주리 주","Missouri","Missouri","Missouri","Миссури","Missouri","Missouri","Missouri","密蘇里州"
"Q1603","","4425092","كنتاكي","কেন্টাকি","Kentucky","Kentucky","Kentucky","Kentucky","Κεντάκι","केन्टकी","Kentucky","Kentucky","Kentucky","ケンタッキー州","켄터키 주","Kentucky","Kentucky","Kentucky","Кентукки","Kentucky","Kentucky","Kentucky","肯塔基州"
"Q1649","","3911338","أوكلاهوما","ওক‌লাহোমা","Oklahoma","Oklahoma","Oklahoma","Oklahoma","Οκλαχόμα","ओक्लाहोमा","Oklahoma","Oklahoma","Oklahoma","オクラホマ州","오클라호마주","Oklahoma","Oklahoma","Oklahoma","Оклахома","Oklahoma","Oklahoma","Oklahoma","奧克拉荷馬州"
"Q1612","","2978204","أركنساس","আর্কানসাস","Arkansas","Arkansas","Arkansas","Arkansas","Αρκάνσας","अरकांसास","Arkansas","Arkansas","Arkansas","アーカンソー州","아칸소 주","Arkansas","Arkansas","Arkansas","Арканзас","Arkansas","Arkansas","Arkansas","阿肯色州"
"Q16551","","626042","فيرمونت","ভার্মন্ট","Vermont","Vermont","Vermont","Vermont","Βερμόντ","वर्मांट","Vermont","Vermont","Vermont","バーモント州","버몬트 주","Vermont","Vermont","Vermont","Вермонт","Vermont","Vermont","Vermont","佛蒙特州"
